tramite_constitucional,tramites_reglamentarios
1. Primer Trámite Constitucional: Cámara de Diputados,14
2. Segundo Trámite Constitucional: Senado,6
3. Tercer Trámite Constitucional: Cámara de Diputados,2
4. Trámite Tribunal Constitucional,5
5. Trámite Finalización: Cámara de Diputados,1
6. Publicación de Ley en Diario Oficial,1
